Day,Date,Temperature,Weather,Feels Like,Wind,Humidity,Chances,Amount,UV,Sunrise,Sunset
Thu,3 Aug,35 / 27ʡC,Mostly sunny.,42ʡC,6 km/h,53%,4%,-,7 (High),05:20,19:06
Fri,4 Aug,33 / 25ʡC,Strong thunderstorms. Broken clouds.,40ʡC,10 km/h,61%,84%,29.2  mm,7 (High),05:21,19:05
Sat,5 Aug,33 / 25ʡC,A few tstorms. Broken clouds.,40ʡC,10 km/h,62%,51%,6.9  mm,5 (Moderate),05:22,19:04
Sun,6 Aug,31 / 25ʡC,Thundershowers. Scattered clouds.,37ʡC,9 km/h,71%,55%,6.0  mm,5 (Moderate),05:22,19:04
Mon,7 Aug,32 / 24ʡC,A few tstorms. Mostly sunny.,37ʡC,10 km/h,65%,48%,5.1  mm,7 (High),05:23,19:03
Tue,8 Aug,34 / 24ʡC,Tstorms early. Scattered clouds.,39ʡC,7 km/h,55%,53%,6.3  mm,7 (High),05:24,19:02
Wed,9 Aug,34 / 28ʡC,Tstorms early. Mostly cloudy.,41ʡC,7 km/h,59%,19%,1.1  mm,5 (Moderate),05:25,19:01
Thu,10 Aug,34 / 27ʡC,Tstorms early. Scattered clouds.,42ʡC,5 km/h,57%,23%,3.5  mm,7 (High),05:25,19:00
Fri,11 Aug,33 / 26ʡC,Sunny.,34ʡC,7 km/h,53%,21%,-,7 (High),05:26,18:59
Sat,12 Aug,33 / 26ʡC,Tstorms early. Mostly sunny.,34ʡC,6 km/h,53%,99%,13.1  mm,7 (High),05:27,18:58
Sun,13 Aug,33 / 26ʡC,Tstorms late. Mostly sunny.,35ʡC,11 km/h,54%,87%,5.7  mm,7 (High),05:27,18:56
Mon,14 Aug,33 / 26ʡC,Thunderstorms. Mostly cloudy.,40ʡC,13 km/h,72%,99%,19.7  mm,3 (Moderate),05:28,18:55
Tue,15 Aug,32 / 26ʡC,Strong thunderstorms. Morning clouds.,38ʡC,5 km/h,70%,99%,28.7  mm,5 (Moderate),05:29,18:54
Wed,16 Aug,32 / 26ʡC,Sunny.,34ʡC,4 km/h,54%,7%,-,7 (High),05:30,18:53
Thu,17 Aug,32 / 25ʡC,Isolated tstorms late. Sunny.,33ʡC,6 km/h,51%,51%,3.5  mm,7 (High),05:30,18:52
