Day,Date,Temperature,Weather,Feels Like,Wind,Humidity,Chances,Amount,UV,Sunrise,Sunset
Thu,3 Aug,31 / 28ʡC,Cloudy.,36ʡC,32 km/h,67%,0%,-,7 (High),06:00,19:15
Fri,4 Aug,31 / 28ʡC,Cloudy.,36ʡC,26 km/h,68%,2%,-,7 (High),06:00,19:14
Sat,5 Aug,31 / 28ʡC,Overcast.,37ʡC,30 km/h,66%,1%,-,5 (Moderate),06:01,19:14
Sun,6 Aug,31 / 27ʡC,Cloudy.,36ʡC,37 km/h,66%,0%,-,5 (Moderate),06:01,19:13
Mon,7 Aug,31 / 28ʡC,Overcast.,36ʡC,35 km/h,69%,0%,-,3 (Moderate),06:02,19:12
Tue,8 Aug,30 / 28ʡC,Overcast.,36ʡC,31 km/h,71%,3%,-,3 (Moderate),06:02,19:12
Wed,9 Aug,31 / 28ʡC,Overcast.,37ʡC,32 km/h,68%,1%,-,5 (Moderate),06:03,19:11
Thu,10 Aug,31 / 27ʡC,Overcast.,36ʡC,32 km/h,68%,5%,-,3 (Moderate),06:03,19:10
Fri,11 Aug,30 / 28ʡC,Passing showers. Overcast.,37ʡC,26 km/h,73%,45%,0.5  mm,5 (Moderate),06:04,19:09
Sat,12 Aug,30 / 28ʡC,Isolated tstorms late. Overcast.,36ʡC,25 km/h,71%,42%,0.3  mm,5 (Moderate),06:04,19:09
Sun,13 Aug,30 / 28ʡC,Isolated tstorms. Overcast.,37ʡC,29 km/h,73%,44%,1.4  mm,5 (Moderate),06:04,19:08
Mon,14 Aug,31 / 28ʡC,Isolated tstorms. Overcast.,36ʡC,24 km/h,70%,42%,0.4  mm,5 (Moderate),06:05,19:07
Tue,15 Aug,31 / 28ʡC,Isolated tstorms. Overcast.,38ʡC,23 km/h,75%,47%,1.1  mm,5 (Moderate),06:05,19:06
Wed,16 Aug,31 / 29ʡC,Showers early. Mostly cloudy.,38ʡC,27 km/h,73%,51%,1.0  mm,5 (Moderate),06:06,19:05
Thu,17 Aug,31 / 29ʡC,Showers early. Cloudy.,37ʡC,24 km/h,70%,43%,0.2  mm,5 (Moderate),06:06,19:05
