Day,Date,Temperature,Weather,Feels Like,Wind,Humidity,Chances,Amount,UV,Sunrise,Sunset
Thu,3-Aug,36 °C / 29°C,Isolated tstorms late. Partly cloudy.,46°C,4 km/h,55%,5%,0.5  mm,7 (High),5:19,18:57
Fri,4-Aug,35 °C / 29°C,Partly cloudy.,43°C,3 km/h,55%,2%,-,7 (High),5:20,18:56
Sat,5-Aug,34 °C / 29°C,Afternoon clouds.,42°C,8 km/h,58%,7%,-,5 (Moderate),5:21,18:56
Sun,6-Aug,34 °C / 29°C,Isolated tstorms. Broken clouds.,43°C,10 km/h,61%,19%,1.1  mm,5 (Moderate),5:21,18:55
Mon,7-Aug,34 °C / 28°C,Thundershowers. Broken clouds.,42°C,7 km/h,59%,22%,1.8  mm,5 (Moderate),5:22,18:54
Tue,8-Aug,37  °C / 28°C,Tstorms early. Overcast.,44°C,3 km/h,50%,51%,5.7  mm,3 (Moderate),5:23,18:53
Wed,9-Aug,37 °C / 28 °C,Cloudy.,45°C,6 km/h,47%,4%,-,5 (Moderate),5:23,18:52
Thu,10-Aug,37 °C / 29 °C,Mostly cloudy.,45°C,9 km/h,48%,6%,-,3 (Moderate),5:24,18:51
Fri,11-Aug,34 °C / 28°C,Isolated tstorms late. Partly cloudy.,33°C,7 km/h,29%,20%,0.3  mm,5 (Moderate),5:25,18:50
Sat,12-Aug,34°C  / 28°C,Mostly sunny.,33°C,6 km/h,27%,6%,-,7 (High),5:25,18:49
Sun,13-Aug,34 °C / 28°C,Isolated tstorms late. Broken clouds.,34°C,14 km/h,33%,44%,1.3  mm,5 (Moderate),5:26,18:48
Mon,14-Aug,34 °C / 28°C,Thundershowers. Cloudy.,37°C,13 km/h,44%,52%,2.5  mm,5 (Moderate),5:26,18:47
Tue,15-Aug,34°C  / 28°C,Thundershowers. Broken clouds.,36°C,9 km/h,42%,53%,0.6  mm,5 (Moderate),5:27,18:46
Wed,16-Aug,34°C  / 28°C,Partly cloudy.,34°C,10 km/h,34%,6%,-,5 (Moderate),5:28,18:45
Thu,17-Aug,34°C  / 28°C,Mostly sunny.,34°C,9 km/h,33%,7%,-,5 (Moderate),5:28,18:44
