Day,Date,Temperature,Weather,Feels Like,Wind,Humidity,Chances,Amount,UV,Sunrise,Sunset
Thu,3 Aug,38 / 28ʡC,Mostly sunny.,44ʡC,9 km/h,42%,1%,-,7 (High),05:26,19:13
Fri,4 Aug,36 / 28ʡC,Isolated tstorms late. Mostly sunny.,43ʡC,3 km/h,54%,12%,0.6  mm,7 (High),05:27,19:12
Sat,5 Aug,36 / 27ʡC,Mostly sunny.,45ʡC,15 km/h,54%,11%,0.2  mm,7 (High),05:27,19:11
Sun,6 Aug,36 / 27ʡC,Sunny.,44ʡC,15 km/h,53%,6%,-,7 (High),05:28,19:10
Mon,7 Aug,36 / 26ʡC,Isolated tstorms late. Mostly sunny.,43ʡC,10 km/h,51%,13%,0.8  mm,7 (High),05:29,19:09
Tue,8 Aug,37 / 26ʡC,Sunny.,41ʡC,10 km/h,42%,2%,-,7 (High),05:29,19:08
Wed,9 Aug,38 / 29ʡC,Mostly sunny.,46ʡC,15 km/h,47%,20%,0.5  mm,7 (High),05:30,19:07
Thu,10 Aug,38 / 30ʡC,Afternoon clouds.,46ʡC,14 km/h,45%,6%,-,5 (Moderate),05:31,19:06
Fri,11 Aug,36 / 28ʡC,Sunny.,37ʡC,11 km/h,35%,18%,-,7 (High),05:32,19:05
Sat,12 Aug,36 / 29ʡC,Sunny.,37ʡC,11 km/h,35%,17%,-,7 (High),05:32,19:04
Sun,13 Aug,36 / 29ʡC,Isolated tstorms late. Sunny.,37ʡC,14 km/h,33%,51%,0.1  mm,7 (High),05:33,19:03
Mon,14 Aug,36 / 29ʡC,Thunderstorms. Broken clouds.,43ʡC,10 km/h,50%,99%,10.9  mm,5 (Moderate),05:34,19:02
Tue,15 Aug,35 / 29ʡC,Thunderstorms. Decreasing cloudiness.,48ʡC,9 km/h,65%,99%,9.2  mm,3 (Moderate),05:34,19:01
Wed,16 Aug,35 / 29ʡC,Sunny.,37ʡC,14 km/h,42%,6%,-,7 (High),05:35,19:00
Thu,17 Aug,36 / 29ʡC,Sunny.,36ʡC,14 km/h,39%,19%,-,7 (High),05:36,18:59
